Species.ID,Length,Data.Type,Year,FisheryDependent,Length Type,Sex,Special,MPA
Chlorurus_sordidus,18.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,17.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,16.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,19.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,17.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,19.9,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,25.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,17.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,17.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,16.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,17.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.8,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.2,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.8,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,25,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,25.9,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,18.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,19.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,17.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,16.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,18.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,16.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.2,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,19.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.8,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,27.2,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,25.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24.9,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,28.9,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,25,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24.2,Fishery,2015,1,0,0,0,0
